dom,SiteID,FlowRateE,FlowRateE70
D01,BART,9.15719521077243,6.4100366475407
D01,HARV,9.07553826626974,6.35287678638882
D02,BLAN,9.25791704490361,6.48054193143253
D02,SCBI,9.0685949590779,6.34801647135453
D02,SERC,9.44905996703836,6.61434197692685
D03,DSNY,9.43778879002192,6.60645215301535
D03,JERC,9.40778553176427,6.58544987223499
D03,OSBS,9.40676405647907,6.58473483953535
D04,GUAN,9.31959043339459,6.52371330337622
D04,LAJA,9.44222765032438,6.60955935522707
D05,STEI,8.93650724925382,6.25555507447768
D05,TREE,8.9544863870092,6.26814047090644
D05,UNDE,8.89119931925201,6.22383952347641
D06,KONA,9.10269146166216,6.37188402316352
D06,KONZ,9.00366931757479,6.30256852230235
D06,UKFS,9.10567569221174,6.37397298454822
D07,GRSM,8.7419420650708,6.11935944554956
D07,MLBS,8.21893547901397,5.75325483530978
D07,ORNL,9.08281682349214,6.3579717764445
D08,DELA,9.42414583020101,6.59690208114071
D08,LENO,9.44654176580182,6.61257923606128
D08,TALL,9.27776460575353,6.49443522402747
D09,DCFS,8.83215666414618,6.18250966490233
D09,NOGP,8.81696108244832,6.17187275771383
D09,WOOD,8.81599187092549,6.17119430964784
D10,CPER,7.74654708880975,5.42258296216682
D10,RMNP,6.76222021403648,4.73355414982554
D10,STER,8.02576280392218,5.61803396274553
D11,CLBJ,9.1588610518917,6.41120273632419
D11,OAES,8.89087403817138,6.22361182671997
D12,YELL,7.30276538516383,5.11193576961468
D13,MOAB,7.60676545436053,5.32473581805237
D13,NIWO,6.15584350500631,4.30909045350442
D14,JORN,8.06866969388031,5.64806878571622
D14,SRER,8.39130559242236,5.87391391469565
D15,ONAQ,7.74538340684923,5.42176838479446
D16,ABBY,9.05538151148779,6.33876705804145
D16,WREF,9.05439113172537,6.33807379220776
D17,SJER,9.02307444012462,6.31615210808724
D17,SOAP,8.17872595123263,5.72510816586284
D17,TEAK,7.28475454880824,5.09932818416577
D18,BARR,9.45247762627,6.616734338389
D18,TOOL,8.56785391295539,5.99749773906877
D19,BONA,9.19456890883905,6.43619823618733
D19,DEJU,8.90747566421885,6.23523296495319
D19,HEAL,9.26967892113907,6.48877524479735
D20,PUUM,8.54119534498365,5.97883674148856
