"Domain","SiteID","Type"
"D01","HOPB","AIS"
"D02","LEWI","AIS"
"D02","POSE","AIS"
"D03","FLNT","AIS"
"D03","SUGG","AIS"
"D03","BARC","AIS"
"D04","GUIL","AIS"
"D04","CUPE","AIS"
"D05","LIRO","AIS"
"D05","CRAM","AIS"
"D06","MCDI","AIS"
"D06","KING","AIS"
"D07","WALK","AIS"
"D07","LECO","AIS"
"D08","MAYF","AIS"
"D08","TOMB","AIS"
"D08","BLWA","AIS"
"D09","PRPO","AIS"
"D09","PRLA","AIS"
"D10","ARIK","AIS"
"D11","BLUE","AIS"
"D11","PRIN","AIS"
"D12","BLDE","AIS"
"D13","WLOU","AIS"
"D13","COMO","AIS"
"D14","SYCA","AIS"
"D15","REDB","AIS"
"D16","MART","AIS"
"D16","MCRA","AIS"
"D17","TECR","AIS"
"D17","BIGC","AIS"
"D18","TOOK","AIS"
"D18","OKSR","AIS"
"D19","CARI","AIS"
