"Domain","SiteID","Type"
"D01","BART","TIS"
"D01","HARV","TIS"
"D02","BLAN","TIS"
"D02","SERC","TIS"
"D02","SCBI","TIS"
"D03","OSBS","TIS"
"D03","DSNY","TIS"
"D03","JERC","TIS"
"D04","LAJA","TIS"
"D04","GUAN","TIS"
"D05","TREE","TIS"
"D05","UNDE","TIS"
"D05","STEI","TIS"
"D06","KONA","TIS"
"D06","KONZ","TIS"
"D06","UKFS","TIS"
"D07","ORNL","TIS"
"D07","MLBS","TIS"
"D07","GRSM","TIS"
"D08","LENO","TIS"
"D08","TALL","TIS"
"D08","DELA","TIS"
"D09","WOOD","TIS"
"D09","NOGP","TIS"
"D09","DCFS","TIS"
"D10","CPER","TIS"
"D10","STER","TIS"
"D10","RMNP","TIS"
"D11","CLBJ","TIS"
"D11","OAES","TIS"
"D12","YELL","TIS"
"D13","NIWO","TIS"
"D13","MOAB","TIS"
"D14","SRER","TIS"
"D14","JORN","TIS"
"D15","ONAQ","TIS"
"D16","WREF","TIS"
"D16","ABBY","TIS"
"D17","TEAK","TIS"
"D17","SOAP","TIS"
"D17","SJER","TIS"
"D18","TOOL","TIS"
"D18","BARR","TIS"
"D19","BONA","TIS"
"D19","DEJU","TIS"
"D19","HEAL","TIS"
"D20","PUUM","TIS"
